TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Límite de confianza superior,Michoacán de Ocampo,300497,362101,207772,365042,12878,144054,2.7,337797,5.8,525.5,63943,324194,61777,253229, , , ,390753,621586,215133,75572,52341,91087,611558,246639,281003,98297,52341,519030,155349,124692,281299,96.4,36384,3369,5554,169.4,7785,52322,259188,6.9,50187,54935,125984,338820,213143,32384,Cifras Definitivas
Coeficiente de variación,Michoacán de Ocampo,2.21,2.54,3.28,3.31,17.1,5.02,1.07,2.99,1.69,1,8.32,5.11,10.88,5.8, , , ,4.51,3.6,8.17,16.84,7.15,4.88,3.95,6.92,3.92,12.19,7.15,9.05,8.12,9.42,13.43,0.94,9.68,23.9,19.62,8.24,11.93,14.17,2.63,1.55,4.64,14.68,8,15.42,25.1,5.82,Cifras Definitivas
Estimación,Morelos,31438,28431,24975,47086,998,15196,2.6,28439,5.2,518.3,8965,38315,5356,26233, , , ,16504,82336,28325,3905,4765,8428,46976,18379,30065,31745,4765, , , , , , , , , , , ,30825,6.8,5122, , , , , ,Cifras Definitivas
Límite de confianza inferior,Morelos,29105,25635,21768,43670,567,12911,2.5,24041,4.9,504.4,6512,33721,3571,21812, , , ,12246,75530,22801,1991,3425,6768,40711,13737,24185,26233,3425, , , , , , , , , , , ,28165,6.5,4399, , , , , ,Cifras Definitivas
Límite de confianza superior,Morelos,33772,31227,28181,50503,1430,17482,2.7,32837,5.5,532.1,11418,42910,7140,30654, , , ,20763,89142,33848,5820,6105,10088,53241,23021,35945,37258,6105, , , , , , , , , , , ,33484,7.1,5845, , , , , ,Cifras Definitivas
Coeficiente de variación,Morelos,3.79,5.02,6.55,3.7,22.06,7.67,1.7,7.89,2.48,1.36,13.96,6.12,17,8.6, , , ,13.16,4.22,9.95,25.01,14.35,10.05,6.8,12.89,9.98,8.86,14.35, , , , , , , , , , , ,4.4,2.36,7.2, , , , , ,Cifras Definitivas
Estimación,Nayarit,123206,94306,73517,190637,3364,63208,2.9,92319,5.8,511.3,25108,192192,5125,75608, , , ,132029,293986,48867,3720,6784,24741,313644,128162,9560,23516,6784, , , , , , , , , , , ,136000,7.5,19993, , , , , ,Cifras Definitivas
Límite de confianza inferior,Nayarit,117804,88405,68183,182269,2396,56749,2.8,82951,5.6,503.9,20053,178839,3113,65378, , , ,114949,274139,37416,1910,4908,20895,293905,111008,4847,14725,4908, , , , , , , , , , , ,129806,7.3,18274, , , , , ,Cifras Definitivas
Límite de confianza superior,Nayarit,128607,100208,78851,199005,4333,69666,2.9,101688,5.9,518.7,30163,205545,7138,85838, , , ,149110,313832,60317,5531,8660,28587,333383,145317,14272,32307,8660, , , , , , , , , , , ,142195,7.6,21712, , , , , ,Cifras Definitivas
Coeficiente de variación,Nayarit,2.24,3.19,3.7,2.24,14.69,5.21,0.68,5.18,1.52,0.74,10.27,3.54,20.03,6.9, , , ,6.6,3.44,11.96,24.82,14.11,7.93,3.21,6.83,25.15,19.07,14.11, , , , , , , , , , , ,2.32,1,4.39, , , , , ,Cifras Definitivas
