ENTIDAD,CULTIVO,ESTIMACION,LIMITE_DE_CONFIANZA_INFERIOR,LIMITE_DE_CONFIANZA_SUPERIOR,COEFICIENTE_DE_VARIACION,ESTATUS
Chihuahua,producción de Chile,0.00,0.00,0.00,0.00,Cifras Definitivas
Zacatecas,producción de Chile,0.00,0.00,0.00,0.00,Cifras Definitivas
Durango,producción de Frijol,104406.64,102975.91,105837.37,0.70,Cifras Definitivas
Zacatecas,producción de Frijol,378399.42,371171.51,385627.34,0.97,Cifras Definitivas
Baja California Sur,producción de Jitomate,140065.96,109614.13,170517.78,11.09,Cifras Definitivas
Coahuila de Zaragoza,producción de Jitomate,0.00,0.00,0.00,0.00,Cifras Definitivas
Campeche,producción de Maíz grano,351722.47,343530.25,359914.70,1.19,Cifras Definitivas
Chiapas,producción de Maíz grano,1596017.00,1571634.46,1620399.55,0.78,Cifras Definitivas
Guanajuato,producción de Maíz grano,0.00,0.00,0.00,0.00,Cifras Definitivas
Guerrero,producción de Maíz grano,949461.99,934649.03,964274.95,0.80,Cifras Definitivas
Hidalgo,producción de Maíz grano,775320.24,762793.24,787847.25,0.82,Cifras Definitivas
Jalisco,producción de Maíz grano,2993172.80,2961634.39,3024711.22,0.54,Cifras Definitivas
Ciudad de México,producción de Maíz grano,0.00,0.00,0.00,0.00,Cifras Definitivas
Michoacán de Ocampo,producción de Maíz grano,1995214.56,1953748.61,2036680.51,1.06,Cifras Definitivas
Oaxaca,producción de Maíz grano,674464.66,661898.71,687030.62,0.95,Cifras Definitivas
Puebla,producción de Maíz grano,973872.66,955257.21,992488.11,0.98,Cifras Definitivas
Sinaloa,producción de Maíz grano,3298435.14,3255519.92,3341350.36,0.66,Cifras Definitivas
Tamaulipas,producción de Maíz grano,583934.09,556082.47,611785.69,2.43,Cifras Definitivas
Tlaxcala,producción de Maíz grano,268217.27,264355.61,272078.92,0.73,Cifras Definitivas
Veracruz de Ignacio de la Llave,producción de Maíz grano,1134379.34,1104963.83,1163794.84,1.32,Cifras Definitivas
Yucatán,producción de Maíz grano,146609.62,126974.27,166244.96,6.83,Cifras Definitivas
Coahuila de Zaragoza,producción de Melón y sandía,0.00,0.00,0.00,0.00,Cifras Definitivas
Guanajuato,producción de Sorgo grano,1370268.15,1337779.50,1402756.84,1.21,Cifras Definitivas
Morelos,producción de Sorgo grano,179467.68,175061.29,183874.08,1.25,Cifras Definitivas
Tamaulipas,producción de Sorgo grano,2573822.77,2387118.00,2760527.54,3.70,Cifras Definitivas
Baja California,producción de Trigo grano,415330.59,395043.17,435618.01,2.49,Cifras Definitivas
Sonora,producción de Trigo grano,1387620.73,1329279.42,1445962.03,2.15,Cifras Definitivas
Baja California,producción de Alfalfa,0.00,0.00,0.00,0.00,Cifras Definitivas
Chihuahua,producción de Alfalfa,0.00,0.00,0.00,0.00,Cifras Definitivas
Guanajuato,producción de Alfalfa,0.00,0.00,0.00,0.00,Cifras Definitivas
Hidalgo,producción de Alfalfa,0.00,0.00,0.00,0.00,Cifras Definitivas
Puebla,producción de Alfalfa,0.00,0.00,0.00,0.00,Cifras Definitivas
Chiapas,producción de Café,0.00,0.00,0.00,0.00,Cifras Definitivas
Oaxaca,producción de Café,124158.08,118550.33,129765.82,2.30,Cifras Definitivas
Puebla,producción de Café,150228.44,136121.58,164335.32,4.79,Cifras Definitivas
Colima,producción de Caña de azúcar,1010928.66,958486.87,1063370.76,2.65,Cifras Definitivas
Jalisco,producción de Caña de azúcar,5093370.42,4975355.99,5211384.84,1.18,Cifras Definitivas
Morelos,producción de Caña de azúcar,2155505.16,2103471.29,2207539.03,1.23,Cifras Definitivas
Nayarit,producción de Caña de azúcar,2487494.89,2426556.99,2548432.80,1.25,Cifras Definitivas
Oaxaca,producción de Caña de azúcar,3637134.62,3474942.33,3799326.85,2.28,Cifras Definitivas
Quintana Roo,producción de Caña de azúcar,1454772.23,1408530.31,1501014.14,1.62,Cifras Definitivas
San Luis Potosí,producción de Caña de azúcar,0.00,0.00,0.00,0.00,Cifras Definitivas
Tamaulipas,producción de Caña de azúcar,0.00,0.00,0.00,0.00,Cifras Definitivas
