TIPO_DATO,ENTIDAD,IV22,IV22_MEN_1_AÑO,IV22_1_A_2_AÑOS,IV22_MAS_2_A_3_AÑOS,IV22_MAY_3_AÑOS,IV22_2_2,IV22_2_3,IV22_2_4,IV22_2_5,IV22_2_6,IV22_2_7,IV22_2_1,IV22_3CNT,IV22_3_1PS,IV23_1,IV23_2,IV23_3,IV23_NO_ESPECIFICADA,IV26,IV26_1_1,IV26_1_2,IV26_1_2_1,IV26_1_3,IV26_1_5,IV26_1_5_1,IV26_1_5_2,IV26_1_4,ESTATUS
Coeficiente de variación,Campeche,1.27,1.90,3.16,2.81,1.79,2.36,3.00,2.51,1.85,7.02,7.09,9.54,5.18,2.39,5.38,1.56,10.00,8.68, , , , , , , , ,2.51,Cifras Definitivas
Estimación,Coahuila de Zaragoza,891594.00,194404.00,166955.00,173696.00,356539.00,123153.00,148103.00,22410.00,269816.00,264369.00,38558.00,25185.00,4402193.00,4.88,80183.00,277956.00,526677.00,6778.00, , , , , , , , ,22410.00,Cifras Definitivas
Límite de confianza inferior,Coahuila de Zaragoza,773661.00,167580.00,133294.00,131551.00,320414.00,81519.00,148103.00,20235.00,253103.00,188840.00,17376.00,8842.00,2737807.00,4.35,59519.00,255923.00,407859.00,4445.00, , , , , , , , ,20235.00,Cifras Definitivas
Límite de confianza superior,Coahuila de Zaragoza,1009526.00,221229.00,200616.00,215841.00,392663.00,164787.00,177774.00,24585.00,286530.00,339897.00,59741.00,36676.00,6066579.00,5.40,100847.00,299988.00,645496.00,9111.00, , , , , , , , ,24585.00,Cifras Definitivas
Coeficiente de variación,Coahuila de Zaragoza,6.75,7.05,10.29,12.38,5.17,17.25,10.22,4.95,3.16,14.58,28.03,31.2,19.29,5.47,13.15,4.04,12.00,17.56, , , , , , , , ,4.95,Cifras Definitivas
Estimación,Colima,175567.00,41594.00,34658.00,32030.00,67285.00,25875.00,68453.00,4908.00,38876.00,1945.00,29383.00,6127.00,85233.00,5.84,11261.00,123428.00,39499.00,1379.00, , , , , , , , ,4908.00,Cifras Definitivas
Límite de confianza inferior,Colima,169105.00,39305.00,32277.00,29119.00,64227.00,23640.00,68453.00,4529.00,35147.00,1180.00,26541.00,4760.00,76298.00,5.57,8381.00,115239.00,34344.00,850.00, , , , , , , , ,4529.00,Cifras Definitivas
Límite de confianza superior,Colima,182029.00,43884.00,37040.00,34941.00,70342.00,28111.00,73325.00,5286.00,42604.00,2710.00,32226.00,6933.00,94169.00,6.12,14141.00,131618.00,44655.00,1907.00, , , , , , , , ,5286.00,Cifras Definitivas
Coeficiente de variación,Colima,1.88,2.81,3.51,4.64,2.32,4.41,3.63,3.93,4.89,20.06,4.94,9.48,5.35,2.40,13.05,3.39,7.00,19.55, , , , , , , , ,3.93,Cifras Definitivas
Estimación,Chiapas,1624900.00,401150.00,289986.00,292505.00,641259.00,206618.00,346600.00,60594.00,464237.00,122157.00,331542.00,93152.00,1270965.00,4.61,291411.00,881823.00,395788.00,55878.00, , , , , , , , ,60594.00,Cifras Definitivas
Límite de confianza inferior,Chiapas,1580190.00,384531.00,275800.00,276582.00,610117.00,193645.00,346600.00,56012.00,425073.00,108480.00,306574.00,76309.00,1192811.00,4.53,266074.00,841642.00,350268.00,48799.00, , , , , , , , ,56012.00,Cifras Definitivas
Límite de confianza superior,Chiapas,1669611.00,417770.00,304172.00,308428.00,672400.00,219590.00,367670.00,65177.00,503400.00,135834.00,356510.00,93396.00,1349119.00,4.70,316747.00,922004.00,441307.00,62959.00, , , , , , , , ,65177.00,Cifras Definitivas
Coeficiente de variación,Chiapas,1.40,2.12,2.50,2.78,2.48,3.20,3.10,3.86,4.30,5.71,3.84,5.14,3.14,0.94,4.44,2.32,6.00,6.46, , , , , , , , ,3.86,Cifras Definitivas
Estimación,Chihuahua,1797168.00,440000.00,288308.00,257539.00,811321.00,130164.00,388949.00,54520.00,826256.00,270880.00,68643.00,57756.00,2721662.00,5.39,294989.00,805952.00,675103.00,21124.00, , , , , , , , ,54520.00,Cifras Definitivas
Límite de confianza inferior,Chihuahua,1717707.00,413485.00,266062.00,220916.00,772932.00,101895.00,388949.00,49730.00,794332.00,200144.00,57180.00,38026.00,2188068.00,5.25,269054.00,768889.00,592893.00,18079.00, , , , , , , , ,49730.00,Cifras Definitivas
Límite de confianza superior,Chihuahua,1876629.00,466514.00,310553.00,294162.00,849711.00,158432.00,414456.00,59311.00,858180.00,341615.00,80107.00,49564.00,3255256.00,5.54,320923.00,843016.00,757313.00,24169.00, , , , , , , , ,59311.00,Cifras Definitivas
Coeficiente de variación,Chihuahua,2.26,3.08,3.94,7.26,2.41,11.08,3.35,4.48,1.97,13.32,8.52,6.72,10.00,1.38,4.49,2.35,6.00,7.35, , , , , , , , ,4.48,Cifras Definitivas
Estimación,Distrito Federal,9376.00,2825.00,3218.00,1685.00,1648.00,597.00,3864.00,224.00,1137.00,1165.00,841.00,1548.00,15278.00,8.27,2645.00,3097.00,2254.00,1380.00,15204.00,4750.00,8902.00,501.00,188.00,1134.00,2.00,10.00,229.00,Cifras Definitivas
Límite de confianza inferior,Distrito Federal,8920.00,2576.00,2810.00,1488.00,1412.00,478.00,3864.00,139.00,862.00,841.00,664.00,1264.00,11865.00,7.92,2243.00,2672.00,1941.00,1234.00,14514.00,4195.00,8333.00,379.00,110.00,921.00,2.00,9.00,165.00,Cifras Definitivas
