municipio,ha_agricola_total,ha_forestal_total,ha_urbana,ha_aguacate,ton_aguacate,pct_bosque,pct_aguacate_en_agri,fase_narrativa,baseline_def_nacional,state_reforestacion_total,state_unidades_forestales,impact_ratio
Pajacuarán,9637.8575,0.0,1069.90868671,13.313,30.6108,0.0,0.0013811802902989282,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0013813235981129624
Epitacio Huerta,23610.6428,1062.4324,2023.31613702,12.76,130.017,0.043058651292430195,0.0005404113601108686,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0005404342485753924
Irimbo,4351.8287,0.0,739.13721106,12.3775,83.6699,0.0,0.002843553204838959,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.002844206620540923
Gabriel Zamora,13065.076,951.4155,4030.79855215,12.0,127.08,0.06787344939713358,0.0009184088627679803,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0009184791577178733
Tzitzio,41324.455,3031.0942,198.31020459,9.9847,85.808,0.068334761262267,0.00024161137487778417,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0002416172215701332
Cojumatlán De Régules,5908.7615,0.0,569.98743245,9.12,46.904,0.0,0.0015432094848497693,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0015434706579373699
Tlalpujahua,5871.6818,3254.236,631.4716961,8.7202,13.9392,0.35655366590460585,0.0014848752745296025,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.001485128162088075
Chucándiro,4766.5237,0.0,370.77152666,8.5,90.42,0.0,0.001782896223462927,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0017832702688544274
Arteaga,198960.22,12056.4118,1413.53423562,8.0,77.46,0.057134618075075944,4.020884069769978e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,4.0209042792574315e-05
Cherán,3623.1648,7141.8674,570.05213476,7.75,46.785,0.6633704290797124,0.0021384237273095307,Introducción (Ecosistema Forestal),-0.21,11410.33,517.0,0.0021390139361035965
Penjamillo,17321.6513,611.6156,1221.57663681,7.525,0.0,0.034103183777196934,0.0004344023250066807,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0004344274035813202
Copándaro,7431.1445,0.0,273.17484242,7.27,80.284,0.0,0.000978183349368409,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0009783149823018513
Aquila,108979.7311,48684.5946,3014.94225978,6.5,23.4,0.30878441016660396,5.9643571247798316e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,5.9644118538295784e-05
Angamacutiro,14534.6156,0.0,990.72493051,6.2448,50.92,0.0,0.00042962060719327225,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00042965016563630345
Sahuayo,5672.7356,0.0,1806.84979536,6.1725,40.7926,0.0,0.0010879075859650564,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0010880993642643948
Tumbiscatío,70848.3637,2903.8942,836.33951421,6.16,63.372,0.03937309730693266,8.69450292607215e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,8.694625645955462e-05
Coahuayana,17247.4337,3974.4749,1501.8512713,5.2,58.65,0.1872728651340467,0.00030147664944208817,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0003014941289497463
Churumuco,31700.2269,11489.2247,2679.93590712,5.0,44.5782,0.26601307174106975,0.00015772260221259764,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00015772757765339528
Cuitzeo,10319.6494,0.0,750.53470511,4.39,40.813,0.0,0.00042536083049192616,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00042540204902697564
Tuzantla,76488.9301,5160.7876,1716.49015426,4.0,42.36,0.06320566120388187,5.229446535995723e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,5.229514904667231e-05
Huandacareo,2177.5822,0.0,562.51328887,2.7283,6.3361,0.0,0.001252328234390238,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.001252903334716825
Zamora,14878.2507,0.0,4193.90500384,2.4889,29.1183,0.0,0.00016727320818648483,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0001672844509872387
Tanhuato,12574.5962,0.0,1077.35875849,2.0,23.4,0.0,0.0001590381854022953,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00015905083298022724
Nocupétaro,31195.788,313.3609,1042.20096169,2.0,11.59,0.009944761003652382,6.410916405881272e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,6.411121911714492e-05
Lázaro Cárdenas,56927.8399,3882.5921,10472.23095187,1.725,1.07,0.06384641789063608,3.0300986337155276e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,3.0301518607242992e-05
Numarán,4703.1756,0.0,406.55952577,1.5,17.55,0.0,0.0003188656477874678,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00031893344573398453
Ecuandureo,13440.2099,0.0,1272.85908099,1.0,0.22,0.0,7.439806441829318e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,7.440359990211166e-05
Churintzio,7807.377,0.0,1001.91041126,1.0,0.0,0.0,0.00012806758690058124,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0001280839903081406
Huaniqueo,7217.6784,0.0,566.93447778,0.775,5.89,0.0,0.00010736037222547551,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00010737524686608371
José Sixto Verduzco,14087.9384,0.0,2030.53363709,0.75,4.425,0.0,5.32332514137474e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,5.323703005402125e-05
Tarímbaro,11759.7039,0.0,1577.32371341,0.702,0.7,0.0,5.969030476143524e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,5.969538059542468e-05
Chavinda,6457.7933,0.0,1125.86740346,0.5001,5.8503,0.0,7.742932414325753e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,7.74413142024846e-05
La Piedad,10506.2541,0.0,3057.01399034,0.5,0.05,0.0,4.7586171919074464e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,4.759070123765615e-05
Tepalcatepec,46442.9241,0.0,2779.40620823,0.24,1.5477,0.0,5.167522009622783e-06,Resolución (Zonas de Transición),-0.21,11410.33,517.0,5.167633275700657e-06
Ixtlán,6907.1579,0.0,951.1178392,0.2,0.03,0.0,2.895127802449333e-05,Resolución (Zonas de Transición),-0.21,11410.33,517.0,2.895546951373444e-05
Santa Ana Maya,3847.6776,0.0,523.51087141,0.0166,0.2,0.0,4.313169801492336e-06,Resolución (Zonas de Transición),-0.21,11410.33,517.0,4.314290781535335e-06
Huetamo,105795.6175,0.0,4367.69635735,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Briseñas,4973.3175,0.0,947.13263939,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Carácuaro,54946.8909,0.0,826.04677753,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Múgica,19584.392,0.0,3250.48623745,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Tiquicheo De Nicolás Romero,97478.3955,657.3813,1842.91377376,0.0,0.0,0.006698623303470877,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Vista Hermosa,12282.4858,0.0,1797.47912864,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Zináparo,5926.2784,0.0,636.77660124,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
Yurécuaro,8927.7938,0.0,1998.07681476,0.0,0.0,0.0,0.0,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0
